Kode,Nama Perusahaan,Papan Pencatatan,Kategori
AALI,Astra Agro Lestari Tbk.,Utama,Perkebunan & Agrikultur
ABBA,Mahaka Media Tbk.,Pemantauan Khusus,Media & Hiburan
ABDA,Asuransi Bina Dana Arta Tbk.,Pengembangan,Asuransi
ABMM,ABM Investama Tbk.,Utama,Lainnya
ACES,Aspirasi Hidup Indonesia Tbk.,Utama,Lainnya
ACST,Acset Indonusa Tbk.,Pemantauan Khusus,Lainnya
ADES,Akasha Wira International Tbk.,Pemantauan Khusus,Lainnya
ADHI,Adhi Karya (Persero) Tbk.,Utama,Konstruksi & Bahan Bangunan
AISA,FKS Food Sejahtera Tbk.,Utama,Consumer Goods
AKKU,Anugerah Kagum Karya Utama Tbk,Pemantauan Khusus,Konstruksi & Bahan Bangunan
AKPI,Argha Karya Prima Industry Tbk,Pengembangan,Konstruksi & Bahan Bangunan
AKRA,AKR Corporindo Tbk.,Utama,Lainnya
AKSI,Mineral Sumberdaya Mandiri Tbk,Pengembangan,Lainnya
ALDO,Alkindo Naratama Tbk.,Utama,Lainnya
ALKA,Alakasa Industrindo Tbk,Pemantauan Khusus,Lainnya
ALMI,Alumindo Light Metal Industry,Pemantauan Khusus,Industri Dasar & Kimia
ALTO,Tri Banyan Tirta Tbk.,Pemantauan Khusus,Lainnya
AMAG,Asuransi Multi Artha Guna Tbk.,Utama,Asuransi
AMFG,Asahimas Flat Glass Tbk.,Pengembangan,Lainnya
AMIN,Ateliers Mecaniques D Indonesi,Pengembangan,Lainnya
AMRT,Sumber Alfaria Trijaya Tbk.,Utama,Ritel & Perdagangan
ANJT,Austindo Nusantara Jaya Tbk.,Pengembangan,Lainnya
ANTM,ANTAM (Persero) Tbk.,Utama,Lainnya
APEX,Apexindo Pratama Duta Tbk.,Pengembangan,Lainnya
APIC,Pacific Strategic Financial Tb,Pengembangan,Lainnya
APII,Arita Prima Indonesia Tbk.,Pengembangan,Lainnya
APLI,Asiaplast Industries Tbk.,Pengembangan,Lainnya
APLN,Agung Podomoro Land Tbk.,Utama,Properti & Real Estate
ARGO,Argo Pantes Tbk,Pengembangan,Lainnya
ARII,Atlas Resources Tbk.,Pengembangan,Energi & Pertambangan
ARNA,Arwana Citramulia Tbk.,Utama,Lainnya
ARTA,Arthavest Tbk,Pengembangan,Lainnya
ARTI,Ratu Prabu Energi Tbk,Pemantauan Khusus,Energi & Pertambangan
ARTO,Bank Jago Tbk.,Utama,Perbankan
ASBI,Asuransi Bintang Tbk.,Pengembangan,Asuransi
ASDM,Asuransi Dayin Mitra Tbk.,Pengembangan,Asuransi
ASGR,Astra Graphia Tbk.,Utama,Lainnya
ASII,Astra International Tbk.,Utama,Lainnya
ASJT,Asuransi Jasa Tania Tbk.,Pengembangan,Asuransi
ASMI,Asuransi Maximus Graha Persada,Pemantauan Khusus,Asuransi
ASRI,Alam Sutera Realty Tbk.,Utama,Properti & Real Estate
ASRM,Asuransi Ramayana Tbk.,Pengembangan,Asuransi
ASSA,Adi Sarana Armada Tbk.,Utama,Transportasi & Logistik
ATIC,Anabatic Technologies Tbk.,Pengembangan,Teknologi
AUTO,Astra Otoparts Tbk.,Utama,Otomotif
BABP,Bank MNC Internasional Tbk.,Pengembangan,Perbankan
BACA,Bank Capital Indonesia Tbk.,Utama,Perbankan
BAJA,Saranacentral Bajatama Tbk.,Pengembangan,Industri Dasar & Kimia
BALI,Bali Towerindo Sentra Tbk.,Utama,Infrastruktur & Telekomunikasi
BAPA,Bekasi Asri Pemula Tbk.,Pengembangan,Lainnya
BATA,Sepatu Bata Tbk.,Pemantauan Khusus,Lainnya
BAYU,Bayu Buana Tbk,Utama,Lainnya
BBCA,Bank Central Asia Tbk.,Utama,Perbankan
BBHI,Allo Bank Indonesia Tbk.,Utama,Perbankan
BBKP,Bank KB Indonesia Tbk.,Pengembangan,Perbankan
BBLD,Buana Finance Tbk.,Pengembangan,Pembiayaan & Sekuritas
BBMD,Bank Mestika Dharma Tbk.,Utama,Perbankan
BBNI,Bank Negara Indonesia (Persero,Utama,Perbankan
BBRI,Bank Rakyat Indonesia (Persero,Utama,Perbankan
BBRM,Pelayaran Nasional Bina Buana,Pengembangan,Transportasi & Logistik
BBTN,Bank Tabungan Negara (Persero),Utama,Perbankan
BBYB,Bank Neo Commerce Tbk.,Utama,Perbankan
BCAP,MNC Kapital Indonesia Tbk.,Utama,Pembiayaan & Sekuritas
BCIC,Bank JTrust Indonesia Tbk.,Pengembangan,Perbankan
BCIP,Bumi Citra Permai Tbk.,Pengembangan,Properti & Real Estate
BDMN,Bank Danamon Indonesia Tbk.,Utama,Perbankan
BEKS,Bank Pembangunan Daerah Banten,Pemantauan Khusus,Perbankan
BEST,Bekasi Fajar Industrial Estate,Utama,Properti & Real Estate
BFIN,BFI Finance  Indonesia Tbk.,Utama,Pembiayaan & Sekuritas
BGTG,Bank Ganesha Tbk.,Utama,Perbankan
BHIT,MNC Asia Holding Tbk.,Pemantauan Khusus,Lainnya
BIKA,Binakarya Jaya Abadi Tbk.,Pemantauan Khusus,Konstruksi & Bahan Bangunan
BIMA,Primarindo Asia Infrastructure,Pemantauan Khusus,Infrastruktur & Telekomunikasi
BINA,Bank Ina Perdana Tbk.,Utama,Perbankan
BIPI,Astrindo Nusantara Infrastrukt,Pengembangan,Lainnya
BIPP,Bhuwanatala Indah Permai Tbk.,Pengembangan,Properti & Real Estate
BIRD,Blue Bird Tbk.,Utama,Lainnya
BISI,BISI International Tbk.,Utama,Lainnya
BJBR,Bank Pembangunan Daerah Jawa B,Utama,Perbankan
BJTM,Bank Pembangunan Daerah Jawa T,Utama,Perbankan
BKDP,Bukit Darmo Property Tbk,Pengembangan,Properti & Real Estate
BKSL,Sentul City Tbk.,Utama,Properti & Real Estate
BKSW,Bank QNB Indonesia Tbk.,Pengembangan,Perbankan
BLTA,Berlian Laju Tanker Tbk,Pemantauan Khusus,Lainnya
BLTZ,Graha Layar Prima Tbk.,Pemantauan Khusus,Properti & Real Estate
BMAS,Bank Kasikorn Indonesia Tbk.,Pengembangan,Perbankan
BMRI,Bank Mandiri (Persero) Tbk.,Utama,Perbankan
BMSR,Bintang Mitra Semestaraya Tbk,Pengembangan,Lainnya
BMTR,Global Mediacom Tbk.,Utama,Media & Hiburan
BNBA,Bank Bumi Arta Tbk.,Pengembangan,Perbankan
BNBR,Bakrie & Brothers Tbk,Pengembangan,Lainnya
BNGA,Bank CIMB Niaga Tbk.,Utama,Perbankan
BNII,Bank Maybank Indonesia Tbk.,Utama,Perbankan
BNLI,Bank Permata Tbk.,Utama,Perbankan
BOLT,Garuda Metalindo Tbk.,Pengembangan,Industri Dasar & Kimia
BPFI,Woori Finance Indonesia Tbk.,Pengembangan,Pembiayaan & Sekuritas
BPII,Batavia Prosperindo Internasio,Pengembangan,Lainnya
BRAM,Indo Kordsa Tbk.,Pengembangan,Lainnya
BRMS,Bumi Resources Minerals Tbk.,Utama,Energi & Pertambangan
BRNA,Berlina Tbk.,Pengembangan,Lainnya
BRPT,Barito Pacific Tbk.,Utama,Lainnya
BSDE,Bumi Serpong Damai Tbk.,Utama,Lainnya
BSIM,Bank Sinarmas Tbk.,Utama,Perbankan
BSSR,Baramulti Suksessarana Tbk.,Utama,Energi & Pertambangan
BSWD,Bank Of India Indonesia Tbk.,Pemantauan Khusus,Perbankan
BTEK,Bumi Teknokultura Unggul Tbk,Pemantauan Khusus,Lainnya
BTEL,Bakrie Telecom Tbk.,Pemantauan Khusus,Infrastruktur & Telekomunikasi
BTON,Betonjaya Manunggal Tbk.,Pengembangan,Konstruksi & Bahan Bangunan
BTPN,Bank SMBC Indonesia Tbk.,Utama,Perbankan
BUDI,Budi Starch & Sweetener Tbk.,Utama,Lainnya
BUKK,Bukaka Teknik Utama Tbk.,Pengembangan,Lainnya
BULL,Buana Lintas Lautan Tbk.,Pengembangan,Lainnya
BUMI,Bumi Resources Tbk.,Utama,Energi & Pertambangan
BUVA,Bukit Uluwatu Villa Tbk.,Pengembangan,Lainnya
BVIC,Bank Victoria International Tb,Utama,Perbankan
BWPT,Eagle High Plantations Tbk.,Utama,Perkebunan & Agrikultur
BYAN,Bayan Resources Tbk.,Utama,Energi & Pertambangan
CANI,Capitol Nusantara Indonesia Tb,Pemantauan Khusus,Lainnya
CASS,Cahaya Aero Services Tbk.,Utama,Lainnya
CEKA,Wilmar Cahaya Indonesia Tbk.,Pengembangan,Lainnya
CENT,Centratama Telekomunikasi Indo,Pengembangan,Infrastruktur & Telekomunikasi
CFIN,Clipan Finance Indonesia Tbk.,Utama,Pembiayaan & Sekuritas
CINT,Chitose Internasional Tbk.,Pengembangan,Lainnya
CITA,Cita Mineral Investindo Tbk.,Utama,Lainnya
CLPI,Colorpak Indonesia Tbk.,Pengembangan,Lainnya
CMNP,Citra Marga Nusaphala Persada,Utama,Lainnya
CMPP,AirAsia Indonesia Tbk.,Pemantauan Khusus,Lainnya
CNKO,Exploitasi Energi Indonesia Tb,Pemantauan Khusus,Energi & Pertambangan
COWL,Cowell Development Tbk.,Pemantauan Khusus,Properti & Real Estate
CPIN,Charoen Pokphand Indonesia Tbk,Utama,Lainnya
CPRO,Central Proteina Prima Tbk.,Pengembangan,Lainnya
CSAP,Catur Sentosa Adiprana Tbk.,Pengembangan,Lainnya
CTBN,Citra Tubindo Tbk.,Pengembangan,Lainnya
CTRA,Ciputra Development Tbk.,Utama,Properti & Real Estate
CTTH,Citatah Tbk.,Pengembangan,Lainnya
DART,Duta Anggada Realty Tbk.,Pengembangan,Properti & Real Estate
DEFI,Danasupra Erapacific Tbk.,Pengembangan,Lainnya
DEWA,Darma Henwa Tbk,Utama,Lainnya
DGIK,Nusa Konstruksi Enjiniring Tbk,Pengembangan,Konstruksi & Bahan Bangunan
DILD,Intiland Development Tbk.,Utama,Properti & Real Estate
DKFT,Central Omega Resources Tbk.,Utama,Energi & Pertambangan
DLTA,Delta Djakarta Tbk.,Utama,Lainnya
DMAS,Puradelta Lestari Tbk.,Utama,Lainnya
DNAR,Bank Oke Indonesia Tbk.,Pengembangan,Perbankan
DNET,Indoritel Makmur Internasional,Utama,Lainnya
DOID,BUMA Internasional Grup Tbk.,Pengembangan,Lainnya
DPNS,Duta Pertiwi Nusantara Tbk.,Pengembangan,Lainnya
DSFI,Dharma Samudera Fishing Indust,Pengembangan,Lainnya
DSNG,Dharma Satya Nusantara Tbk.,Utama,Lainnya
DSSA,Dian Swastatika Sentosa Tbk,Utama,Lainnya
DUTI,Duta Pertiwi Tbk,Pemantauan Khusus,Lainnya
DVLA,Darya-Varia Laboratoria Tbk.,Pengembangan,Lainnya
DYAN,Dyandra Media International Tb,Pengembangan,Media & Hiburan
ECII,Electronic City Indonesia Tbk.,Pengembangan,Properti & Real Estate
EKAD,Ekadharma International Tbk.,Pengembangan,Lainnya
ELSA,Elnusa Tbk.,Utama,Lainnya
ELTY,Bakrieland Development Tbk.,Pemantauan Khusus,Properti & Real Estate
EMDE,Megapolitan Developments Tbk.,Pengembangan,Properti & Real Estate
EMTK,Elang Mahkota Teknologi Tbk.,Utama,Teknologi
ENRG,Energi Mega Persada Tbk.,Utama,Energi & Pertambangan
EPMT,Enseval Putera Megatrading Tbk,Utama,Ritel & Perdagangan
ERAA,Erajaya Swasembada Tbk.,Utama,Lainnya
ERTX,Eratex Djaja Tbk.,Pengembangan,Lainnya
ESSA,ESSA Industries Indonesia Tbk.,Utama,Lainnya
ESTI,Ever Shine Tex Tbk.,Pengembangan,Lainnya
ETWA,Eterindo Wahanatama Tbk,Pemantauan Khusus,Lainnya
EXCL,XLSMART Telecom Sejahtera Tbk.,Utama,Infrastruktur & Telekomunikasi
FAST,Fast Food Indonesia Tbk.,Pengembangan,Consumer Goods
FASW,Fajar Surya Wisesa Tbk.,Pemantauan Khusus,Lainnya
FISH,FKS Multi Agro Tbk.,Utama,Perkebunan & Agrikultur
FMII,Fortune Mate Indonesia Tbk,Pengembangan,Lainnya
FORU,Fortune Indonesia Tbk,Pengembangan,Lainnya
FPNI,Lotte Chemical Titan Tbk.,Pengembangan,Industri Dasar & Kimia
GAMA,Aksara Global Development Tbk.,Pemantauan Khusus,Properti & Real Estate
GDST,Gunawan Dianjaya Steel Tbk.,Pengembangan,Industri Dasar & Kimia
GDYR,Goodyear Indonesia Tbk.,Pengembangan,Lainnya
GEMA,Gema Grahasarana Tbk.,Pengembangan,Properti & Real Estate
GEMS,Golden Energy Mines Tbk.,Utama,Energi & Pertambangan
GGRM,Gudang Garam Tbk.,Utama,Consumer Goods
GIAA,Garuda Indonesia (Persero) Tbk,Pengembangan,Lainnya
GJTL,Gajah Tunggal Tbk.,Utama,Lainnya
GLOB,Globe Kita Terang Tbk.,Pemantauan Khusus,Lainnya
GMTD,Gowa Makassar Tourism Developm,Pengembangan,Lainnya
GOLD,Visi Telekomunikasi Infrastruk,Pengembangan,Infrastruktur & Telekomunikasi
GOLL,Golden Plantation Tbk.,Pemantauan Khusus,Perkebunan & Agrikultur
GPRA,Perdana Gapuraprima Tbk.,Pengembangan,Lainnya
GSMF,Equity Development Investment,Pengembangan,Properti & Real Estate
GTBO,Garda Tujuh Buana Tbk,Pengembangan,Lainnya
GWSA,Greenwood Sejahtera Tbk.,Pengembangan,Lainnya
GZCO,Gozco Plantations Tbk.,Utama,Perkebunan & Agrikultur
HADE,Himalaya Energi Perkasa Tbk.,Pemantauan Khusus,Energi & Pertambangan
HDFA,Radana Bhaskara Finance Tbk.,Pengembangan,Pembiayaan & Sekuritas
HERO,DFI Retail Nusantara Tbk.,Utama,Ritel & Perdagangan
HEXA,Hexindo Adiperkasa Tbk.,Utama,Lainnya
HITS,Humpuss Intermoda Transportasi,Pemantauan Khusus,Transportasi & Logistik
HMSP,H.M. Sampoerna Tbk.,Utama,Consumer Goods
HOME,Hotel Mandarine Regency Tbk.,Pemantauan Khusus,Lainnya
HOTL,Saraswati Griya Lestari Tbk.,Pemantauan Khusus,Lainnya
HRUM,Harum Energy Tbk.,Utama,Energi & Pertambangan
IATA,Karya Pacific Energy Tbk.,Pengembangan,Energi & Pertambangan
IBFN,Intan Baru Prana Tbk.,Pemantauan Khusus,Lainnya
IBST,Inti Bangun Sejahtera Tbk.,Pemantauan Khusus,Konstruksi & Bahan Bangunan
ICBP,Indofood CBP Sukses Makmur Tbk,Utama,Consumer Goods
ICON,Island Concepts Indonesia Tbk.,Pengembangan,Properti & Real Estate
IGAR,Champion Pacific Indonesia Tbk,Pengembangan,Lainnya
IIKP,Inti Agri Resources Tbk,Pemantauan Khusus,Energi & Pertambangan
IKAI,Intikeramik Alamasri Industri,Pemantauan Khusus,Lainnya
IKBI,Sumi Indo Kabel Tbk.,Pengembangan,Lainnya
IMAS,Indomobil Sukses Internasional,Utama,Lainnya
IMJS,Indomobil Multi Jasa Tbk.,Pengembangan,Lainnya
IMPC,Impack Pratama Industri Tbk.,Utama,Lainnya
INAF,Indofarma Tbk.,Pemantauan Khusus,Farmasi & Kesehatan
INAI,Indal Aluminium Industry Tbk.,Pengembangan,Lainnya
INCI,Intanwijaya Internasional Tbk,Pengembangan,Konstruksi & Bahan Bangunan
INCO,Vale Indonesia Tbk.,Utama,Lainnya
INDF,Indofood Sukses Makmur Tbk.,Utama,Consumer Goods
INDR,Indo-Rama Synthetics Tbk.,Pengembangan,Lainnya
INDS,Indospring Tbk.,Pengembangan,Lainnya
